#,TestHouse,Product,Assembly,Wire Type,Stage,Lot ID,No.,Vendor Lot ID,Total,Pass,Yield,LotEndDate
1,SMK,CHKS008L,ANST,CU,FT,N9AGH,1,P14101306101,22318,22226,99.58,2014-10-19
2,SMK,CHKS008L,ANST,CU,FT,N9AGH,2,P14101029302,42304,42144,99.62,2014-10-23
3,SMK,CHKS008L,ANST,CU,FT,N9AGH,3,P14101109001,11178,11157,99.81,2014-10-23
4,SMK,CHKS008L,ANST,CU,FT,N9AGH,4,P14100920402,51188,51025,99.68,2014-10-24
5,SMK,CHKS008L,ANST,CU,FT,N9AQ3,1,P14101704501,11159,11127,99.71,2014-10-24
6,SMK,CHKS008L,ANST,CU,FT,N9AQ3,2,P14101306201,33465,33337,99.61,2014-10-27
7,SMK,CHKS008L,ANST,CU,FT,N9AQ3,3,P14101524702,42277,42153,99.7,2014-10-28
8,SMK,CHKS008L,ANST,CU,FT,N9AQ3,4,P14101402302,42291,42139,99.64,2014-10-31
9,SMK,CHKS008L,ANST,CU,FT,N9AQ3,5,P14101402301,2340,2329,99.52,2014-10-31
10,SMK,CHKS008L,ANST,CU,FT,N9AQ3,6,P14101524701,2166,2163,99.86,2014-10-31
11,SMK,CHKS008L,ANST,CU,FT,N9L04,1,P14101704701,9243,9216,99.7,2014-10-23
12,SMK,CHKS008L,ANST,CU,FT,N9L04,2,P14101525001,22379,22323,99.74,2014-10-24
13,SMK,CHKS008L,ANST,CU,FT,N9L04-1,1,P14092210602,42372,42272,99.76,2014-10-23
14,SMK,CHKS008L,ANST,CU,FT,N9L04-1,2,P14092210601,24742,24668,99.7,2014-10-23
15,SMK,CHKS008L,ANST,CU,FT,N9L04-1,3,P14092230702,7104,7055,99.31,2014-10-24
16,SMK,CHKS008L,ANST,CU,FT,N9L04-1,4,P14092230701,60000,59730,99.55,2014-10-24
17,SMK,CHKS008M,ANST,AU,FT,N99YC,1,P14092815303,23435,23105,98.59,2014-10-17
18,SMK,CHKS008M,ANST,AU,FT,N99YC,2,P14092815302,25910,25701,99.19,2014-10-17
19,SMK,CHKS008M,ANST,AU,FT,N99YC,3,P14092814201,4319,4257,98.56,2014-10-24
20,SMK,CHKS008M,ANST,AU,FT,N99YC,4,P14092014101,12938,12802,98.94,2014-10-30
21,SMK,CHKS008M,ANST,AU,FT,N99YC,5,P14092814202,25904,25670,99.09,2014-10-31
22,SMK,CHKS008M,ANST,AU,FT,N9AGG,1,P14092814302,25916,25725,99.26,2014-10-10
23,SMK,CHKS008M,ANST,AU,FT,N9AGG,2,P14092815403,12940,12848,99.28,2014-10-13
